passageId,type,id,tag
"passage0","info","","張商英，"
"passage0","info","","字天覺，"
"passage0","info","","蜀州新津人。"
"passage3","info","","調通川主簿。"
"passage3","info","","渝州蠻叛，"
"passage5","info","","闢知南川縣。"
"passage5","info","","章惇經制夔夷，"
"passage5","info","","狎侮郡縣吏，"
"passage7","info","","部使者念獨商英足抗之，"
"passage8","info","","使者以商英告，"
"passage9","info","","商英著道士服，"
"passage11","info","","延為上客。"
"passage11","info","","薦諸王安石，"
"passage11","info","","因召對，"
"passage11","info","","以檢正中書禮房擢監察御史。"
"passage11","info","",""
"passage11","info","","樞密檢詳官劉奉世駁之，"
"passage11","info","","詔糾察司劾治。"
"passage11","info","","商英奏：「此出大臣私忿，"
"passage11","info","","使耳目之官無為近臣所脅。"
"passage11","info","","」神宗為置不治。"
"passage11","info","","商英遂言奉世庇博州失入囚，"
"passage11","info","","因摭院吏徇私十二事，"
"passage11","info","","語侵樞臣，"
"passage11","info","","於是文彥博等上印求去。"
"passage11","info","","詔責商英監荊南稅，"
"passage11","info","","乃得館閣校勘、檢正刑房。"
"passage11","info","","商英嘗薦舒但可用，"
"passage11","info","","但知諫院，"
"passage20","info","",""
"passage20","info","","為開封府推官，"
"passage20","info","","屢詣執政求進。"
"passage20","info","","朝廷稍更新法之不便於民者，"
"passage20","info","","商英上書言：「『三年無改於父之道，"
"passage23","info","","』今先帝陵土未幹，"
"passage24","info","","」且移書蘇軾求入臺，"
"passage25","info","","呂公著聞之，"
"passage26","info","","出提點河東刑獄，"
"passage26","info","","連使河北、江西、淮南。"
"passage26","info","",""
"passage26","info","","召為右正言、左司諫。"
"passage26","info","","商英積憾元祐大臣不用己，"
"passage26","info","","上疏曰：「先帝盛德大業，"
"passage26","info","","而司馬光、呂公著、劉摯、呂大防援引朋儔，"
"passage30","info","","凡詳定局之所建明，"
"passage30","info","","中書之所勘當，"
"passage30","info","","戶部之所行遣，"
"passage30","info","","詞臣之所作命，"
"passage30","info","","無非指擿抉揚，"
"passage31","info","","今天青日明，"
"passage31","info","","陛下與大臣斟酌而可否焉。"
"passage31","info","","」遂論內侍陳衍以搖宣仁，"
"passage31","info","","乞追奪光、公著贈謚，"
"passage31","info","","言文彥博背負國恩，"
"passage31","info","","及蘇軾、范祖禹、孫升、韓川諸人，"
"passage33","info","","又言：「願陛下無忘元祐時，"
