passageId,type,id,tag
"passage0","info","","王彥超，"
"passage0","info","","大名臨清人。"
"passage2","info","","少事後唐魏王繼岌，"
"passage2","info","","從繼岌討蜀"
"passage2","info","","還至渭南。"
"passage2","info","","會明宗即位，"
"passage2","info","","彥超乃依鳳翔重雲山僧舍暉道人為徒。"
"passage6","info","",""
"passage6","info","","時晉祖帥陜"
"passage6","info","","委以心腹。"
"passage6","info","","及移鎮太原，"
"passage6","info","","遣從事桑維翰求援契丹，"
"passage6","info","","以彥超從行。"
"passage6","info","","天福初，"
"passage6","info","","累遷奉德軍校，"
"passage6","info","","再轉殿前散指揮都虞候、領蒙州刺史。"
"passage6","info","","漢初，"
"passage6","info","","領岳州防禦使兼護聖左廂都校，"
"passage6","info","","出為復州防禦使。"
"passage6","info","",""
"passage6","info","","北征契丹，"
"passage6","info","","以彥超為行營馬步左廂都排陣使，"
"passage6","info","","從周祖入汴。"
"passage6","info","","即命彥超權知徐州節度。"
"passage6","info","","湘陰公舊校鞏廷美據州叛，"
"passage6","info","","真拜彥超武寧軍節度，"
"passage7","info","","時晉祖帥陜"
"passage16","info","",""
"passage16","info","","又與樞密使王峻拒劉崇於晉州"
"passage16","info","","授建雄軍節度。"
"passage16","info","","復以所部追賊至霍邑，"
"passage17","info","","又與樞密使王峻拒劉崇於晉州"
"passage19","info","","彥超歸鎮所，"
"passage19","info","","俄改河陽三城節度，"
"passage19","info","","移鎮河中。"
"passage19","info","",""
"passage19","info","","加同平章事。"
"passage19","info","","劉崇南寇，"
"passage19","info","","命彥超領兵取晉州路東向邀擊，"
"passage19","info","","從戰高平。"
"passage19","info","","彥超自陰地關與符彥卿會兵圍汾州，"
"passage19","info","","州將董希顏果降。"
"passage19","info","","遂引兵趣石州，"
"passage19","info","","彥超親鼓士乘城，"
"passage19","info","","擒其守將安彥進，"
"passage19","info","","改忠武軍節度，"
"passage19","info","","加兼侍中。"
"passage19","info","","詔率所部浚胡蘆河"
"passage19","info","","城李晏口。"
"passage29","info","",""
"passage29","info","","宰相李谷征淮南"
"passage29","info","","以彥超為前軍行營副部署，"
"passage29","info","","敗淮南軍二千於壽州城下。"
"passage29","info","","谷退保正陽，"
"passage30","info","","宰相李谷征淮南"
"passage32","info","","會李重進兵至，"
"passage33","info","","改京兆尹、永興軍節度。"
"passage33","info","","移鎮鳳翔。"
"passage33","info","","恭帝嗣位，"
"passage33","info","","加檢校太師、西面緣邊副都部署。"
"passage33","info","",""
"passage33","info","","加兼中書令，"
"passage38","info","","太祖與彥超有舊，"
"passage38","info","","因幸作坊，"
"passage44","info","","復以為永興軍節度。"
"passage44","info","","又以其父光祿卿致仕重霸為太子少傅致仕。"
"passage44","info","","乾德二年，"
"passage44","info","","復鎮鳳翔。"
"passage48","info","","為右金吾衛上將軍判街仗事。"
"passage48","info","",""
"passage48","info","","封邠國公。"
"passage48","info","","加太子太師，"
"passage48","info","","給金吾上將軍祿。"
"passage55","info","","雍熙三年，"
"passage55","info","","年七十三。"
"passage55","info","","贈尚書令。"
"passage58","info","","彥超自鳳翔來朝，"
"passage58","info","","與武行德、郭從義、白重贊、楊廷璋俱侍曲宴。"
