1,唐書卷一百三十七 列傳第三十二傅奕,,新唐書,376091,傅奕
2,唐書卷八十九列傳第十四  屈突通,,新唐書,138722,屈突通
3,唐書卷一百二 列傳第二十七　岑虞李褚姚令狐,,新唐書,30971,姚思廉
4,唐書卷一百二 列傳第二十七　岑虞李褚姚令狐,,新唐書,22793,虞世南
5,唐書卷一百九十八 列傳第一百二十三　儒學上,,新唐書,3685,歐陽詢
6,唐書卷一百二 列傳第二十七　岑虞李褚姚令狐,,新唐書,92899,李百藥
7,唐書卷二百一十五上  列傳第一百四十上　突厥上,,新唐書,444909,咄吉世
8,唐書卷二百一十五上  列傳第一百四十上　突厥上,,新唐書,444909,始畢可汗
9,唐書卷二百一十七上  列傳第一百四十二上　回鶻上,,新唐書,551217,菩薩
10,唐書卷二百一十五下  列傳第一百四十下　突厥下,,新唐書,551219,統葉護可汗
11,唐書卷二百一十五上  列傳第一百四十上　突厥上,,新唐書,444917,咄苾
12,唐書卷二百一十五上  列傳第一百四十上　突厥上,,新唐書,444917,頡利可汗
13,唐書卷一 本紀第一 高祖,,新唐書,13059,李淵
14,唐書卷一 本紀第一 高祖,,新唐書,13059,唐高祖
15,唐書卷八十八 列傳第十三  裴寂,,新唐書,31917,裴寂
16,唐書卷八十八 列傳第十三  劉文靜,,新唐書,20308,劉文靜
17,唐書卷九十二 列傳第十七　杜闞王李苑羅王,,新唐書,378048,郭子和
18,唐書卷一百二 列傳第二十七　岑虞李褚姚令狐,,新唐書,92937,李延壽
19,唐書卷九十一  列傳第十六　溫皇甫二李姜崔,,新唐書,150721,溫大雅
20,唐書卷一百一十列傳第三十五　諸夷蕃將,,新唐書,30587,馮盎
21,列傳第十八　二李勣,,新唐書,31312,李靖
22,列傳第十六　溫皇甫二李姜崔,,新唐書,94815,溫彥博
23,列傳第一百二十三　儒學上,,新唐書,92271,孔穎達
24,列傳第一百三十一　外戚,,新唐書,24636,武士彠
25,列傳第二十一　房杜,,新唐書,17130,房玄齡
26,列傳第二十二　魏徵,,新唐書,15610,魏徵
27,列傳第一百二十三　儒學上,,新唐書,32430,顏師古
28,列傳第一百二十一　隱逸,,新唐書,92784,孫思邈
29,列傳第二十七　岑虞李褚姚令狐,,新唐書,32966,令狐德棻
30,列傳第二十一　房杜,,新唐書,30864,杜如晦
31,列傳第一百二十一　隱逸,,新唐書,551304,王績
32,列傳第十四　屈實尉遲張秦唐段,,新唐書,139166,尉遲恭
33,列傳第三十四　崔楊竇宗祝王,,新唐書,150640,崔義玄
34,列傳第十五　二劉殷許程柴任丘,,新唐書,195638,丘行恭
35,列傳第二十九　於高張,,新唐書,31485,于志寧
36,列傳第四　高祖諸子,,新唐書,187923,李建成
37,列傳第八　諸帝公主,,新唐書,135650,平陽公主
38,列傳第十五　二劉殷許程柴任丘,,新唐書,135651,柴紹
39,列傳第十七　杜闞王李苑羅王,,新唐書,380390,羅藝
40,列傳第十九　侯張薛,,新唐書,176094,侯君集
41,列傳第三十六　郭二張三王蘇薛程唐,,新唐書,376534,郭孝恪
42,列傳第三十五　諸夷蕃將,,新唐書,376419,阿史那社爾
43,列傳第三十　長孫褚韓來李上官,,新唐書,31068,長孫無忌
